,,,,,,Average,,,,,,,,min,max
0,,,,,,,,,,,,,,,
Des,,,,,,0,,,,,,,,0,0
Acc,,,,,,0,,,,,,,,0,0
,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,
Des,,,,,,4000,,,,,,,,10,15
Acc,,,,,,4000,,,,,,,,20,20
,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,
Des,,,,,,8000,,,,,,,,25,30
Acc,,,,,,8000,,,,,,,,35,40
,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
Des,,,,,,12000,,,,,,,,40,55
Acc,,,,,,11000,,,,,,,,65,75
,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,
Des,,,,,,16000,,,,,,,,75,90
Acc,,,,,,14000,,,,,,,,95,110
,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,
Des,20496,20076,20076,20076,,20160,,,118,112,105,113,,105,118
Acc,17561,17561,17252,,,17458,,first sensor,155,154,148,153,,148,154
,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,
Des,25907,26610,25907,25907,,26082.75,,,178,195,189,193,,178,195
Acc,22886,22886,22364,,,22712,,first sensor,225,240,224,235,,224,240
,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,
Des,31781,30784,30784,30784,,31033.25,,,262,268,269,258,,258,269
Acc,28136,28136,28136,,,28136,,first sensor,332,319,320,333,,319,333
,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,
Des,36511,36511,36511,36511,,36511,,,341,351,356,357,,341,357
Acc,32845,32845,32845,,,32845,,first sensor,432,427,425,410,,410,427
,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,
Des,41099,42896,41099,41099,,41548.25,,,482,475,485,454,,454,485
Acc,37922,37922,37922,,,37922,,first sensor,551,533,545,558,,533,558
,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,
Des,44857,44857,44857,44857,,44857,,,595,609,585,591,,585,609
Acc,42896,42896,44857,,,43549.6666666667,,first sensor,648,634,652,649,,634,652
,,,,,,,,,,,,,,,
11,,,,,,,,,,j,,,,,
Des,49371,51986,51986,49371,,50678.5,,,715,730,728,735,,715,735
Acc,47005,47005,47005,,,47005,,first sensor,795,785,701,822,,701,822
,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
Des,54895,54895,54895,54895,,54895,,first sensor,856,873,889,894,,856,894
Acc,54895,54895,54895,,,54895,,,962,960,962,932,,932,962
,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,
Des,58148,58148,58148,58148,,58148,,switch,212,132,192,175,,988,1068
Acc,58148,58148,58148,,,58148,,,234,229,251,258,,1085,1114
,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,
Des,61811,61811,61811,65966,,62849.75,,switch,410,350,390,382,,1206,1266
Acc,65966,61811,65966,,,64581,,,,,,,,1206,1266
